ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.968106972,1.968104489
16,33554432,536870912,1.880840977,1.880838668
32,16777216,536870912,2.212070237,2.212064249
64,8388608,536870912,1.977214991,1.977210660
128,4194304,536870912,1.918085330,1.918078465
256,2097152,536870912,1.864182067,1.864168717
512,1048576,536870912,1.861570703,1.861543361
1024,524288,536870912,1.888196628,1.888153309
2048,262144,536870912,1.845722222,1.845629707
4096,131072,536870912,1.838021193,1.837836242
8192,65536,536870912,1.837964187,1.837632252
16384,32768,536870912,1.877558837,1.876821380
32768,16384,536870912,1.881663895,1.880154220
65536,8192,536870912,1.893323313,1.890165339
131072,4096,536870912,1.944940403,1.938395492
262144,2048,536870912,2.201895012,2.189026060
524288,1024,536870912,2.029304054,2.007648298
1048576,512,536870912,2.088218054,2.042657035
2097152,256,536870912,2.102112255,2.021060756
4194304,128,536870912,2.117889982,1.958190128
8388608,64,536870912,2.300920808,1.995088102
16777216,32,536870912,2.581889364,1.958001627
33554432,16,536870912,3.445134181,2.198330224
67108864,8,536870912,4.608006813,2.063924210
134217728,4,536870912,7.480377786,2.311287708
268435456,2,536870912,12.832071055,2.297128897
536870912,1,536870912,24.430949614,2.265005906
