ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.982558505,1.982555988
16,33554432,536870912,1.897469214,1.897466930
32,16777216,536870912,2.056318133,2.056313938
64,8388608,536870912,1.934945309,1.934941826
128,4194304,536870912,1.851342269,1.851335184
256,2097152,536870912,1.784846928,1.784834687
512,1048576,536870912,1.795275446,1.795253816
1024,524288,536870912,1.778362201,1.778323678
2048,262144,536870912,1.814677341,1.814602819
4096,131072,536870912,1.844215227,1.844065208
8192,65536,536870912,1.801614435,1.801316957
16384,32768,536870912,1.833016591,1.832426077
32768,16384,536870912,1.815751738,1.814494137
65536,8192,536870912,1.806697356,1.804254545
131072,4096,536870912,1.801655798,1.796685088
262144,2048,536870912,1.781312031,1.771542393
524288,1024,536870912,1.796774842,1.778664671
1048576,512,536870912,1.849898120,1.815228924
2097152,256,536870912,1.957846291,1.887123786
4194304,128,536870912,1.987515095,1.851041116
8388608,64,536870912,2.144510731,1.870933575
16777216,32,536870912,2.413918857,1.860526970
33554432,16,536870912,2.943135627,1.855810524
67108864,8,536870912,4.032052099,1.859493094
134217728,4,536870912,6.269121401,1.906202343
268435456,2,536870912,10.753375094,1.938551325
536870912,1,536870912,19.842297596,1.873794639
