ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.085202709,2.085200127
16,33554432,536870912,1.973314773,1.973312672
32,16777216,536870912,1.970042687,1.970037471
64,8388608,536870912,2.031202212,2.031198422
128,4194304,536870912,1.945074649,1.945068612
256,2097152,536870912,1.930218702,1.930200363
512,1048576,536870912,1.829681889,1.829658193
1024,524288,536870912,1.840641296,1.840599808
2048,262144,536870912,1.831893851,1.831818964
4096,131072,536870912,1.802088924,1.801936787
8192,65536,536870912,1.785577569,1.785300798
16384,32768,536870912,1.781310912,1.780733295
32768,16384,536870912,1.780502013,1.779263884
65536,8192,536870912,1.782234603,1.779865039
131072,4096,536870912,1.792260858,1.787568524
262144,2048,536870912,1.832994387,1.823419046
524288,1024,536870912,3.047732741,1.833070968
1048576,512,536870912,5.139552307,2.033041762
2097152,256,536870912,3.130794577,2.300339647
4194304,128,536870912,5.302171114,2.257250699
8388608,64,536870912,3.265316593,2.139113386
16777216,32,536870912,18.760599492,2.053197188
33554432,16,536870912,22.172507802,2.072651708
67108864,8,536870912,4.708685727,2.135578801
134217728,4,536870912,6.962373690,2.331370126
268435456,2,536870912,11.296448185,2.219313254
536870912,1,536870912,20.882684762,2.443705916
