ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.517016947,2.517014336
16,33554432,536870912,2.284126513,2.284125061
32,16777216,536870912,2.389046287,2.389043093
64,8388608,536870912,2.359142991,2.359140857
128,4194304,536870912,2.219879628,2.219875255
256,2097152,536870912,2.198452722,2.198441026
512,1048576,536870912,2.137417404,2.137397895
1024,524288,536870912,2.166065021,2.166028539
2048,262144,536870912,2.198428438,2.198359680
4096,131072,536870912,2.249312996,2.249167276
8192,65536,536870912,2.262784769,2.262516264
16384,32768,536870912,2.119730280,2.119167458
32768,16384,536870912,2.233034098,2.231827313
65536,8192,536870912,2.193899395,2.191528529
131072,4096,536870912,2.176066062,2.170913331
262144,2048,536870912,2.206585785,2.197136901
524288,1024,536870912,2.227376516,2.209757746
1048576,512,536870912,2.334807040,2.300389128
2097152,256,536870912,2.362004865,2.293108697
4194304,128,536870912,2.422193742,2.285191399
8388608,64,536870912,2.554390758,2.280776082
16777216,32,536870912,2.823708644,2.277889488
33554432,16,536870912,3.374837136,2.284436715
67108864,8,536870912,4.629613616,2.434851276
134217728,4,536870912,6.698395268,2.292771811
268435456,2,536870912,11.162101646,2.344393578
536870912,1,536870912,19.979522420,2.473555238
