ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.818449263,0.818447914
16,33554432,536870912,0.799663262,0.799662238
32,16777216,536870912,0.780566890,0.780565556
64,8388608,536870912,0.889294292,0.889289679
128,4194304,536870912,0.663219936,0.663213966
256,2097152,536870912,0.584495742,0.584484491
512,1048576,536870912,0.548152576,0.548131825
1024,524288,536870912,0.539099994,0.539061260
2048,262144,536870912,0.594317257,0.594237643
4096,131072,536870912,0.542996479,0.542835655
8192,65536,536870912,0.526340955,0.526029433
16384,32768,536870912,0.512073857,0.511430984
32768,16384,536870912,0.505809017,0.504487993
65536,8192,536870912,0.507798326,0.505194967
131072,4096,536870912,0.510912906,0.505566121
262144,2048,536870912,0.517863496,0.507385022
524288,1024,536870912,0.541281729,0.520057296
1048576,512,536870912,0.623049705,0.580607947
2097152,256,536870912,0.783662834,0.698173737
4194304,128,536870912,0.972822753,0.800799370
8388608,64,536870912,1.196325958,0.850008561
16777216,32,536870912,1.549108359,0.857921793
33554432,16,536870912,2.248299968,0.867904380
67108864,8,536870912,3.615382567,0.860750973
134217728,4,536870912,6.384890176,0.870208158
268435456,2,536870912,11.870732467,0.853475969
536870912,1,536870912,48.999228821,26.627145622
