ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.692690218,0.692688580
16,33554432,536870912,0.715967415,0.715966387
32,16777216,536870912,0.766097007,0.766095071
64,8388608,536870912,0.690260807,0.690254840
128,4194304,536870912,0.711641427,0.711634165
256,2097152,536870912,0.658220835,0.658208516
512,1048576,536870912,0.694384989,0.694361964
1024,524288,536870912,0.707908606,0.707866435
2048,262144,536870912,0.714239582,0.714158453
4096,131072,536870912,0.691045285,0.690881766
8192,65536,536870912,0.706634797,0.706323433
16384,32768,536870912,0.662873426,0.662221843
32768,16384,536870912,0.613906241,0.612596026
65536,8192,536870912,0.592158591,0.589484394
131072,4096,536870912,0.575547812,0.570306596
262144,2048,536870912,0.564440220,0.554010035
524288,1024,536870912,0.552160303,0.531227592
1048576,512,536870912,0.499690598,0.457474496
2097152,256,536870912,0.610319572,0.524656297
4194304,128,536870912,0.809412782,0.638895206
8388608,64,536870912,1.022083758,0.681101346
16777216,32,536870912,1.393614903,0.710916306
33554432,16,536870912,2.075080136,0.706885811
67108864,8,536870912,3.421220155,0.692459981
134217728,4,536870912,6.161057485,0.701446767
268435456,2,536870912,11.592565852,0.693060364
536870912,1,536870912,36.201165556,14.034950483
