ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,6.710394541,6.710393013
16,33554432,536870912,6.517693554,6.517692262
32,16777216,536870912,6.119711924,6.119710221
64,8388608,536870912,6.016875913,6.016868767
128,4194304,536870912,5.993939651,5.993931150
256,2097152,536870912,5.933618518,5.933604633
512,1048576,536870912,5.922776601,5.922753901
1024,524288,536870912,5.988305447,5.988260748
2048,262144,536870912,5.993486540,5.993402517
4096,131072,536870912,6.060507184,6.060341656
8192,65536,536870912,6.067725302,6.067405513
16384,32768,536870912,6.020155653,6.019504553
32768,16384,536870912,6.021732999,6.020425306
65536,8192,536870912,6.042928907,6.040257268
131072,4096,536870912,5.995546562,5.990345485
262144,2048,536870912,5.983849566,5.973281319
524288,1024,536870912,6.086802347,6.065745083
1048576,512,536870912,6.140580126,6.098149279
2097152,256,536870912,6.170910220,6.083345685
4194304,128,536870912,6.192818459,6.020263287
8388608,64,536870912,6.381586337,6.033245452
16777216,32,536870912,6.683476789,5.992517874
33554432,16,536870912,7.326376596,5.961039756
67108864,8,536870912,8.692114121,5.963354962
134217728,4,536870912,11.398568535,5.955889133
268435456,2,536870912,16.875597505,5.995363213
536870912,1,536870912,44.616933913,21.798371837
