ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.992385946,0.992383273
16,33554432,536870912,0.921326693,0.921325311
32,16777216,536870912,0.961046081,0.961044196
64,8388608,536870912,0.853611196,0.853604580
128,4194304,536870912,0.788834411,0.788825628
256,2097152,536870912,0.698050968,0.698037418
512,1048576,536870912,0.689326119,0.689303603
1024,524288,536870912,0.658750959,0.658710074
2048,262144,536870912,0.647577162,0.647492179
4096,131072,536870912,0.638152539,0.637985848
8192,65536,536870912,0.636718579,0.636398458
16384,32768,536870912,0.637357111,0.636699207
32768,16384,536870912,0.639588979,0.638248800
65536,8192,536870912,0.643730824,0.641074125
131072,4096,536870912,0.651736989,0.646426622
262144,2048,536870912,0.688873469,0.677935211
524288,1024,536870912,0.737245236,0.715300380
1048576,512,536870912,0.853338711,0.810435220
2097152,256,536870912,1.105153575,1.016970263
4194304,128,536870912,1.239412172,1.063190230
8388608,64,536870912,1.445360609,1.090987204
16777216,32,536870912,1.788737506,1.086242614
33554432,16,536870912,2.503642326,1.086375908
67108864,8,536870912,3.900708092,1.094258963
134217728,4,536870912,6.717902600,1.099906724
268435456,2,536870912,12.276950060,1.090329012
536870912,1,536870912,76.397039565,53.648437731
