ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.813132146,0.813130813
16,33554432,536870912,0.804332235,0.804331067
32,16777216,536870912,0.801717679,0.801716055
64,8388608,536870912,0.703217018,0.703211063
128,4194304,536870912,0.683086292,0.683078921
256,2097152,536870912,0.654942969,0.654930019
512,1048576,536870912,0.669450336,0.669428428
1024,524288,536870912,0.642940553,0.642900606
2048,262144,536870912,0.599909444,0.599828879
4096,131072,536870912,0.569290746,0.569125122
8192,65536,536870912,0.535775236,0.535455827
16384,32768,536870912,0.516831601,0.516195292
32768,16384,536870912,0.518156671,0.516857940
65536,8192,536870912,0.519808979,0.517213250
131072,4096,536870912,0.512263991,0.507084608
262144,2048,536870912,0.533366454,0.522870672
524288,1024,536870912,0.574750921,0.553144398
1048576,512,536870912,0.623435521,0.581089423
2097152,256,536870912,0.830956137,0.744324404
4194304,128,536870912,0.986441182,0.815204443
8388608,64,536870912,1.188996878,0.848321217
16777216,32,536870912,1.552902128,0.867360292
33554432,16,536870912,2.248893728,0.871138991
67108864,8,536870912,3.611693584,0.866292752
134217728,4,536870912,6.322156474,0.857159203
268435456,2,536870912,11.731178917,0.854354323
536870912,1,536870912,56.320982148,34.129316530
