=== Experiment 1: Deferred Insertion (Serial) ===
NX,NY,Particles,Interp_Time,Mover_Time,Total_Time
250,100,100,0.000000,0.000000,0.000000
250,100,10000,0.001000,0.001000,0.002000
250,100,1000000,0.037000,0.126000,0.163000
250,100,100000000,3.617000,13.768000,17.385000
500,200,100,0.000000,0.000000,0.000000
500,200,10000,0.000000,0.002000,0.002000
500,200,1000000,0.040000,0.131000,0.171000
500,200,100000000,3.730000,13.904000,17.634000
1000,400,100,0.002000,0.000000,0.002000
1000,400,10000,0.003000,0.001000,0.004000
1000,400,1000000,0.085000,0.135000,0.220000
1000,400,100000000,8.918999,13.888001,22.807000
