=== Experiment 1: Immediate Replacement (Serial) ===
NX,NY,Particles,Interp_Time,Mover_Time,Total_Time
250,100,100,0.000000,0.000000,0.000000
250,100,10000,0.001000,0.001000,0.002000
250,100,1000000,0.036000,0.119000,0.155000
250,100,100000000,3.737000,12.664000,16.401000
500,200,100,0.000000,0.000000,0.000000
500,200,10000,0.000000,0.002000,0.002000
500,200,1000000,0.042000,0.131000,0.173000
500,200,100000000,3.808000,12.593000,16.401000
1000,400,100,0.001000,0.000000,0.001000
1000,400,10000,0.003000,0.001000,0.004000
1000,400,1000000,0.089000,0.118000,0.207000
1000,400,100000000,8.213000,12.681000,20.894000
