=== Experiment 2: Deferred Insertion ΓÇô Parallel Scalability ===
NX,NY,Threads,Serial_Mover,Parallel_Mover,Speedup,Serial_Total,Parallel_Total
250,100,2,1.849000,0.244000,7.577861,2.356000,0.767000
250,100,4,1.849000,0.202000,9.153467,2.356000,0.710000
250,100,8,1.849000,0.214000,8.640185,2.356000,0.721000
250,100,16,1.849000,0.215000,8.599982,2.356000,0.760000
500,200,2,1.816000,0.236000,7.694914,2.325000,0.760000
500,200,4,1.816000,0.203000,8.945811,2.325000,0.740000
500,200,8,1.816000,0.216000,8.407405,2.325000,0.763000
500,200,16,1.816000,0.214999,8.446535,2.325000,0.736000
1000,400,2,1.852000,0.245000,7.559194,3.030000,1.424000
1000,400,4,1.852000,0.196000,9.448985,3.030000,1.375000
1000,400,8,1.852000,0.214000,8.654195,3.030000,1.391000
1000,400,16,1.852000,0.214000,8.654186,3.030000,1.424000
