=== Experiment 2: Immediate Replacement ΓÇô Parallel Scalability ===
NX,NY,Threads,Serial_Mover,Parallel_Mover,Speedup,Serial_Total,Parallel_Total
250,100,2,1.745000,0.341000,5.117304,2.295000,0.888000
250,100,4,1.745000,0.212000,8.231136,2.295000,0.765000
250,100,8,1.745000,0.205000,8.512178,2.295000,0.742000
250,100,16,1.745000,0.208001,8.389396,2.295000,0.709000
500,200,2,1.732000,0.326000,5.312887,2.266000,0.844000
500,200,4,1.732000,0.212001,8.169786,2.266000,0.759000
500,200,8,1.732000,0.201000,8.616904,2.266000,0.721000
500,200,16,1.732000,0.210000,8.247625,2.266000,0.736000
1000,400,2,1.761999,0.341000,5.167152,2.877000,1.492000
1000,400,4,1.761999,0.218000,8.082559,2.877000,1.383000
1000,400,8,1.761999,0.207000,8.512074,2.877000,1.378000
1000,400,16,1.761999,0.213000,8.272314,2.877000,1.360000
