=== Experiment 2: No Insert/Delete (Assign-04) ΓÇô Parallel Scalability ===
NX,NY,Threads,Serial_Mover,Parallel_Mover,Speedup
250,100,2,1.708000,0.236000,7.237285
250,100,4,1.708000,0.216000,7.907394
250,100,8,1.708000,0.211000,8.094787
250,100,16,1.708000,0.210000,8.133340
500,200,2,1.791000,0.240000,7.462492
500,200,4,1.791000,0.197000,9.091391
500,200,8,1.791000,0.201000,8.910459
500,200,16,1.791000,0.206000,8.694180
1000,400,2,1.735000,0.242000,7.169432
1000,400,4,1.735000,0.191000,9.083758
1000,400,8,1.735000,0.203000,8.546795
1000,400,16,1.735000,0.210000,8.261912
