x,y
0.03752327,0.31454833
0.69450632,0.40725562
0.20267371,0.26029636
0.63856843,0.87293663
0.30173304,0.01329880
0.36380171,0.77907470
0.30949755,0.12745264
0.11100474,0.77451338
0.07882085,0.53269598
0.56067345,0.73342270
0.97991368,0.22746416
0.45928521,0.51597462
0.57553189,0.54420040
0.72555678,0.61385511
0.79644449,0.60772652
0.28408360,0.83052227
0.91311796,0.98837158
0.25036201,0.09956142
0.21678553,0.87936119
0.99113975,0.49051708
0.90920433,0.35451326
0.28137704,0.24961347
0.48735955,0.40698575
0.98491017,0.55650962
0.94403389,0.55883265
0.30551179,0.93682570
0.77587917,0.75655147
0.44952983,0.34436393
0.31561579,0.15387287
0.98227746,0.11767089
0.74440671,0.25627838
0.95002803,0.65387424
0.21695097,0.19597105
0.78531633,0.44331788
0.07732049,0.77593372
0.12082467,0.24336978
0.21749016,0.61459625
0.62460538,0.21451726
0.16508147,0.56006533
0.77667110,0.45693283
0.48888278,0.54408483
0.24189861,0.92815388
0.91174715,0.56901827
0.10481368,0.89504459
0.67180448,0.85421707
0.13815718,0.62736063
0.51664620,0.34269730
0.81611704,0.30877175
0.78862886,0.91039675
0.07763744,0.72185383
0.90457903,0.18075559
0.97393215,0.13806539
0.79009255,0.57211484
0.34931993,0.97463429
0.16057375,0.14552438
0.44085450,0.66631865
0.69247982,0.65360421
0.56835517,0.59267626
0.24675923,0.67357035
0.46775498,0.90865686
0.50779717,0.60971410
0.53364945,0.04711176
0.95544196,0.35095232
0.33681061,0.72183300
0.27125588,0.40262428
0.48439365,0.17115010
0.59291016,0.45891044
0.28590410,0.40873172
0.06086333,0.65179814
0.35017673,0.21320544
0.78121507,0.80493313
0.86689361,0.45693174
0.47778434,0.44399663
0.05792187,0.71115982
0.09641762,0.54732884
0.63110728,0.61535441
0.14358901,0.18583417
0.64065817,0.09945434
0.52652321,0.96834967
0.86310178,0.78813556
0.38791682,0.33497417
0.93761401,0.96435383
0.80982123,0.23850115
0.35982969,0.89490988
0.88674214,0.70645157
0.10412165,0.65762181
0.49703764,0.95763942
0.12165211,0.95992204
0.38626403,0.17416154
0.67936556,0.48920303
0.70925083,0.32089854
0.10689644,0.84853332
0.48722956,0.75702361
0.95587080,0.03351920
0.73702338,0.77927499
0.79153186,0.12634723
0.16246801,0.73094042
0.09376718,0.97813376
0.97266397,0.45378661
0.85497381,0.84974086
0.15160328,0.93115897
0.49936333,0.64162287
0.91011071,0.61191621
0.60346291,0.32043444
0.79658942,0.28262676
0.79905638,0.51756813
0.60530129,0.90419492
0.35468008,0.08025801
0.67350741,0.30408911
0.09428361,0.41659180
0.11752346,0.88543197
0.53947099,0.28761326
0.61096133,0.64364010
0.24828072,0.59581396
0.06683503,0.12879067
0.43903141,0.22766489
0.06634998,0.94291748
0.87107923,0.95874803
0.54741018,0.50083267
0.25283542,0.33091143
0.76937060,0.03881994
0.85383985,0.33698474
0.96984460,0.18458101
0.45520274,0.63423338
0.50707081,0.54101995
0.05788281,0.62203421
0.41530182,0.58376422
0.91658575,0.03282431
0.21859196,0.18539449
0.61388845,0.27483103
0.27212099,0.04419308
0.49186529,0.30413479
0.97131460,0.36178368
0.27893166,0.53194424
0.83348665,0.55206529
0.86672438,0.59607579
0.59565887,0.70133523
0.97352914,0.56390008
0.91708416,0.42030327
0.19685549,0.44458635
0.95021823,0.27895865
0.06074925,0.35777514
0.84009209,0.96626804
0.39578320,0.04012719
0.31614427,0.40808779
0.04584340,0.82776141
0.16092100,0.04353381
0.52730262,0.01883979
0.57357817,0.39733785
0.61137541,0.16928634
0.09916456,0.60156997
0.72900996,0.02568988
0.99396696,0.94677230
0.44926287,0.91704031
0.18530049,0.50504299
0.29203169,0.05252439
0.49328644,0.69096743
