x,y
0.03223455,0.31985204
0.70825333,0.43595360
0.20407315,0.26408369
0.63522969,0.86355103
0.30045414,0.00046227
0.37325423,0.77294742
0.31944949,0.14886534
0.11516519,0.76673464
0.07259366,0.53080993
0.55728892,0.72876654
0.97393846,0.20719144
0.44731342,0.52387074
0.57233782,0.56469706
0.73090503,0.63242984
0.79370181,0.56847880
0.27786416,0.83044380
0.91554035,0.96719050
0.24580981,0.12911601
0.21782803,0.89963384
0.99120734,0.50992609
0.91217877,0.35831354
0.27868973,0.24192944
0.48944474,0.39066859
0.98672506,0.58615459
0.94475261,0.55490853
0.31550731,0.92368445
0.77420043,0.75161079
0.44743178,0.35218193
0.31383818,0.18199839
0.97683455,0.10637019
0.75595783,0.26712250
0.94547636,0.64880803
0.22081619,0.21321138
0.78711168,0.45558720
0.08432568,0.78059108
0.71274191,0.09672774
0.10926377,0.25033877
0.23873728,0.60876801
0.63067262,0.22092387
0.16778747,0.57254374
0.78181243,0.47581006
0.49239067,0.55053149
0.24269836,0.92646873
0.90632305,0.57211200
0.09151572,0.89639025
0.68125618,0.86441729
0.13687970,0.60508814
0.52366881,0.34982488
0.81482573,0.31808861
0.77843668,0.89576261
0.07230434,0.72213819
0.90033555,0.19852059
0.97683349,0.12057449
0.79486725,0.61453628
0.35288622,0.95333605
0.15853369,0.14729340
0.43988610,0.64998825
0.68776609,0.67318259
0.56914894,0.58733168
0.23982807,0.66230991
0.48215542,0.91495824
0.51537308,0.60252148
0.54326100,0.02360804
0.96341594,0.35175294
0.33113587,0.77628751
0.25772247,0.39510469
0.49828920,0.14670788
0.58900832,0.46090264
0.28513085,0.39091387
0.06262879,0.63878074
0.35053029,0.23251895
0.76871572,0.78339604
0.86808685,0.45389903
0.47700086,0.42896417
0.05457096,0.71187322
0.10990045,0.53495266
0.63391319,0.62800126
0.14376149,0.15687785
0.64431542,0.07982049
0.53126093,0.94330597
0.86103004,0.80614633
0.38289150,0.34453369
0.94304143,0.96203593
0.81444193,0.25013658
0.36777539,0.87087526
0.87818935,0.70719973
0.09423320,0.68499145
0.49672207,0.97590140
0.13138689,0.95717440
0.40355583,0.19012120
0.67855186,0.50613963
0.70268422,0.32587908
0.11872982,0.85254799
0.47763924,0.79575021
0.95392289,0.55296753
0.75024935,0.83303261
0.79028341,0.10627023
0.15771743,0.73356101
0.09761137,0.97901928
0.96230940,0.43368361
0.85857482,0.83924531
0.15667077,0.92172186
0.50275652,0.67030020
0.90518714,0.63379700
0.61444502,0.30829509
0.80420950,0.27330884
0.80446269,0.50842553
0.60050387,0.90832194
0.35419949,0.10811492
0.67628925,0.33269377
0.08828971,0.39661134
0.11846837,0.90732610
0.52344800,0.27809909
0.61276722,0.61319313
0.25282926,0.59444225
0.07061504,0.10916455
0.43428451,0.20978365
0.04672469,0.93953322
0.86739766,0.95737589
0.54680879,0.47908405
0.26343082,0.34845817
0.76494398,0.05882423
0.84920151,0.37392461
0.97149713,0.19178366
0.44912146,0.62531929
0.51339374,0.53083198
0.05432499,0.62020381
0.41198428,0.59481221
0.92004792,0.00904519
0.20283237,0.18542127
0.60382812,0.26488207
0.28028126,0.04717501
0.48873322,0.31547223
0.96315367,0.36474957
0.28291778,0.51003844
0.82597356,0.54851910
0.86498076,0.62622650
0.57824211,0.72538031
0.96036538,0.56448950
0.91358326,0.41219065
0.20152562,0.43164140
0.95089800,0.24173943
0.06283911,0.33118070
0.84562360,0.98014811
0.39163378,0.05455698
0.15176421,0.01371334
0.31790337,0.43015520
0.03757453,0.82410477
0.75505141,0.01759656
0.17476746,0.06847555
0.33609624,0.98394451
0.57681201,0.40714941
0.60004206,0.15267312
0.10985948,0.58018133
0.26123877,0.61712778
0.98427481,0.92141920
0.45369286,0.92614144
0.18865634,0.49188914
0.30101623,0.03856504
0.49822489,0.71499753
0.08572353,0.66021512
0.69772742,0.41690372
0.06208170,0.72502025
0.22326919,0.84768090
0.75218966,0.38692447
0.86667805,0.27017134
0.40177400,0.43085614
0.65726524,0.02482741
0.60413164,0.78377164
0.57424278,0.32747218
0.78707021,0.56960915
0.26915468,0.21717274
0.50767138,0.43671954
0.75390677,0.81552314
0.48576507,0.25658450
0.50333726,0.58169042
0.87697001,0.22827119
0.98353904,0.95016463
0.94291919,0.22105806
0.77166021,0.70992563
0.59908736,0.63425288
0.81015043,0.29108525
0.06218485,0.61773006
0.01362198,0.69284394
0.39762067,0.57144700
0.00544124,0.18162945
0.16224399,0.24980823
0.41513647,0.67863368
0.71442936,0.16547825
0.48407320,0.22429264
0.44372941,0.87400938
0.78126975,0.32317501
0.18092988,0.76628147
0.24434956,0.14872584
0.96901718,0.02499649
0.82997688,0.57222563
0.65506000,0.81228837
0.55980207,0.71040742
0.43433106,0.57924623
0.40873671,0.84247803
0.16243080,0.39943576
0.00492415,0.31285578
0.68019816,0.41742526
0.00464827,0.40554907
0.59634929,0.48755982
0.60416588,0.01572528
0.47002831,0.37684154
0.30648770,0.66925834
0.13919440,0.55762459
0.79946290,0.10158800
0.57421770,0.63254395
0.66662736,0.23522370
0.42281935,0.24683114
0.96573176,0.85274274
0.81106048,0.38491540
0.67965154,0.97981515
0.76322555,0.69888139
0.30624635,0.44849479
0.10684963,0.31513921
0.83686518,0.69360541
0.81610608,0.45557303
0.72254264,0.27816210
0.83846670,0.01823098
0.96509258,0.98553759
0.56786761,0.75540462
0.08187268,0.14847664
0.39799526,0.75093921
0.38336300,0.82278089
0.98692948,0.35933147
0.68196501,0.79384772
0.70356323,0.36074440
0.76748123,0.49859804
0.03419225,0.09633381
0.91421249,0.12593245
0.39662220,0.77113669
0.84824080,0.18417205
0.21210872,0.53886855
0.48686266,0.04912430
0.58781378,0.45975459
0.02423652,0.12295510
0.20451072,0.09178747
0.28576669,0.61310779
0.86660924,0.66513209
0.43532058,0.87049703
0.41453781,0.95766237
0.64800677,0.69891336
0.47066909,0.41212598
0.17180389,0.49904577
0.49083904,0.07954330
0.64455510,0.89693362
0.83259483,0.50134345
0.08310077,0.05274475
0.04757422,0.55620908
0.08277970,0.63398636
0.00788903,0.10070998
0.76936288,0.23581164
0.21763312,0.05361879
0.81063418,0.10442079
0.73250985,0.25004636
0.92633849,0.69697037
0.34840487,0.56482024
0.42355212,0.81890765
0.97900251,0.58126080
0.31107367,0.48654153
0.65620175,0.94171544
0.36764889,0.49316265
0.45164209,0.44599368
0.53497072,0.52521453
0.01325566,0.60285180
0.12049677,0.01173592
0.73240812,0.90714492
0.22599215,0.97822480
0.95468642,0.05466886
0.04109603,0.64589807
0.28139564,0.96192584
0.40087955,0.65204879
0.54577978,0.80875216
0.45287448,0.53369230
0.40778769,0.73890986
0.00662382,0.06081706
0.71557691,0.37370897
0.56478602,0.15368418
0.82102238,0.10988712
0.67043530,0.81190542
0.72150716,0.78809960
0.84342274,0.44630071
0.69279171,0.08118890
0.40795652,0.64600823
0.12604121,0.43717110
0.33067440,0.41057297
0.40448707,0.76477473
0.05723737,0.91584301
0.57598562,0.48357821
0.47104913,0.97353986
0.24605999,0.47976913
0.05976276,0.97311337
0.83994567,0.61833664
0.14885591,0.64318075
0.72030552,0.81569626
0.47524609,0.45096268
0.61422327,0.34872750
0.89972796,0.30904039
0.41608372,0.31178889
0.97449311,0.53577416
0.73673702,0.29695491
0.96156178,0.09805693
0.05100547,0.30813542
0.07381871,0.61204621
0.48452172,0.53037345
0.60592991,0.75088369
0.00545796,0.64029763
0.72982159,0.84896698
0.28015165,0.86007401
0.39278057,0.32801387
0.67945836,0.98365526
0.45398394,0.30299067
0.31736879,0.34302781
0.59907977,0.71033753
0.63513671,0.54554383
0.27475263,0.37330619
0.87451991,0.23089247
0.50847219,0.91417323
0.21760189,0.56596304
0.54735815,0.69985786
0.12555638,0.14869018
0.46774125,0.15153599
0.79854769,0.19746794
0.99535169,0.06648716
0.04708303,0.49922658
0.08023065,0.73155643
0.47382657,0.53032082
0.02494066,0.80237657
0.87488791,0.64074196
0.52101842,0.48511266
0.21931345,0.79583740
0.87493123,0.07393298
0.00465428,0.38563569
0.01499329,0.24139003
0.98530504,0.56126384
0.95382930,0.09378374
0.70088445,0.39913377
0.24708946,0.48122633
0.58649312,0.25095063
0.59226173,0.66075741
0.72041254,0.69967339
0.36411755,0.18305905
0.21070698,0.37686094
0.98143448,0.07334285
0.02507863,0.50814971
0.59161950,0.21388868
0.29422395,0.46687435
0.31822545,0.32071698
0.84595414,0.32592787
0.53313440,0.83410878
0.89157018,0.47335491
0.93012061,0.58714572
0.87253426,0.18321225
0.10388678,0.45909039
0.39965120,0.68608553
0.09660353,0.11434008
0.36464089,0.46216164
0.31830286,0.56575313
0.85377928,0.31283475
0.63294275,0.86662547
0.79819024,0.20755148
0.11125000,0.09497158
0.67111298,0.41833582
0.40329241,0.51693588
0.77469419,0.92779558
0.33632631,0.66145539
0.41139052,0.24893717
0.24671900,0.28363916
0.43965697,0.32697316
0.75495215,0.83631229
0.01875429,0.85257736
0.96337193,0.38881761
0.32427676,0.25805150
0.93874305,0.18376158
0.56141213,0.58366672
0.06891395,0.36187072
0.78424805,0.18090121
0.46401655,0.45564403
0.59763939,0.88253085
0.99242815,0.35350071
0.79973577,0.31362457
0.01059794,0.22147691
