x,y
0.03346995,0.32996421
0.69063570,0.42248668
0.20626514,0.25012845
0.63655852,0.86362238
0.30165563,0.02492394
0.36499271,0.76538098
0.31786026,0.13572839
0.10674526,0.76067157
0.08167228,0.55095621
0.56465189,0.74327051
0.98176015,0.21884979
0.45439592,0.51865402
0.57384173,0.55523104
0.72854626,0.62887394
0.79612813,0.58371582
0.27476644,0.82959808
0.91368003,0.96540214
0.25208476,0.11994516
0.21553059,0.88864328
0.98356755,0.51718622
0.91356722,0.34856025
0.28256721,0.23142748
0.48428865,0.38931246
0.99209906,0.56596093
0.94026867,0.55675094
0.30923144,0.92202882
0.77560074,0.76362736
0.44068285,0.34944246
0.31885840,0.16922910
0.97831641,0.11498653
0.75294492,0.25308284
0.94458461,0.66662495
0.21848499,0.19666937
0.78657011,0.43401558
0.08531265,0.77013766
0.95120180,0.99887987
0.11869791,0.23376901
0.23030735,0.60298656
0.62308147,0.22240641
0.16894749,0.56335015
0.77915735,0.47817893
0.48537897,0.55475809
0.24180628,0.92606182
0.90420055,0.56066468
0.09529092,0.88251696
0.67565121,0.84823583
0.13559980,0.62023581
0.51486078,0.35408479
0.81690518,0.30143089
0.78810037,0.90221783
0.07156855,0.73930217
0.90109770,0.19026646
0.97307118,0.13140505
0.79325302,0.59615266
0.35381146,0.96220050
0.15950280,0.13296881
0.44037943,0.64488177
0.68772689,0.68218571
0.57094359,0.59192745
0.24285039,0.66623451
0.47444440,0.91850160
0.51447034,0.61004420
0.53873742,0.02933112
0.96412899,0.35564260
0.33076201,0.75222936
0.25786043,0.40233056
0.49153153,0.15895813
0.59259701,0.46460271
0.29036318,0.38585003
0.06075537,0.64417463
0.34805053,0.22025817
0.77714344,0.78842996
0.86513995,0.46487034
0.47061568,0.43608354
0.05679778,0.71346607
0.10231804,0.53124219
0.63196767,0.61678838
0.14128639,0.17070509
0.64611950,0.10541538
0.52634769,0.97688151
0.85764474,0.78420811
0.37921207,0.34917627
0.94316624,0.97180908
0.81377899,0.23352941
0.35765911,0.87453435
0.87770405,0.70570964
0.09479253,0.65484749
0.49413961,0.95993247
0.11971782,0.96475529
0.39601601,0.17651561
0.67822136,0.49833405
0.70775779,0.31018903
0.11512243,0.84904418
0.48089412,0.76124193
0.95445956,0.00724181
0.73812344,0.81210431
0.79144992,0.11733551
0.16128058,0.73461616
0.08914459,0.97505956
0.96814557,0.44680370
0.84959392,0.84584962
0.15251334,0.94438644
0.50069711,0.64665295
0.90431892,0.62041493
0.61140824,0.30033493
0.79693054,0.28962960
0.79866898,0.50468833
0.59981862,0.91379141
0.35373251,0.08071274
0.67503334,0.30819207
0.08795455,0.41315678
0.12029637,0.87940447
0.53049229,0.28157695
0.61402062,0.61963688
0.25663651,0.58216619
0.06644057,0.10623043
0.42801581,0.21895392
0.05061687,0.92871292
0.86560687,0.95493579
0.54912785,0.47701511
0.25527072,0.34605838
0.76664470,0.05393969
0.85074671,0.36646333
0.96773110,0.20447921
0.44717607,0.64276444
0.51267128,0.53513062
0.05592122,0.63296765
0.41453509,0.58641351
0.91454460,0.02855571
0.20605039,0.17118112
0.61072191,0.27249096
0.27741155,0.03873772
0.49144488,0.32802842
0.96745063,0.35705175
0.28296421,0.51657848
0.83406685,0.53823493
0.86263686,0.60071156
0.59217462,0.71338357
0.96717488,0.55990573
0.91786278,0.41435095
0.20267017,0.43053406
0.94948157,0.25859139
0.06350171,0.36401666
0.84500490,0.97804632
0.39257238,0.05105529
0.14922744,0.00329428
0.32354625,0.42663898
0.04203200,0.81499113
0.75466741,0.00948263
0.17204287,0.03763162
0.52606111,0.00610973
0.57586655,0.38869797
0.60682128,0.16804118
0.10208154,0.57399617
0.72794690,0.01994431
0.98834712,0.93061707
0.45047837,0.93782869
0.18920847,0.51398009
0.30184536,0.03421337
