x,y
0.00079751,0.01105472
0.53867037,0.91504288
0.49123508,0.38377239
0.25106369,0.22173193
0.48270675,0.05669332
0.99363445,0.89221442
0.41730216,0.22863338
0.07269936,0.68597522
0.64135246,0.42814325
0.43195837,0.60057711
0.27337028,0.81438124
0.91628663,0.77259529
0.28090616,0.19887478
0.19900375,0.17056154
0.10861159,0.11842799
0.91862069,0.10481491
0.88812464,0.53794824
0.24320164,0.94824030
0.35599365,0.91281320
0.25001630,0.59256661
0.83098447,0.91002625
0.84138566,0.49438490
0.11188293,0.23783349
0.12064907,0.93545366
0.73581286,0.46265664
0.19799933,0.65141179
0.50611689,0.08329203
0.17272634,0.91352672
0.75383221,0.48133213
0.35865316,0.87769494
0.12164177,0.19720176
0.74696213,0.96515854
0.27017927,0.07174932
0.14115824,0.62924863
0.68034974,0.04179357
0.54266610,0.99259224
0.50255013,0.74995911
0.14908255,0.72909909
0.79497336,0.61740562
0.14434535,0.01506546
0.30204010,0.21951323
0.08283224,0.16404157
0.73879977,0.93342235
0.85382794,0.24935545
0.06813428,0.79669820
0.02118241,0.78911496
0.52151726,0.02712577
0.58854469,0.13777429
0.87325040,0.80260414
0.88842225,0.13902310
0.95108774,0.56989380
0.85399078,0.44371197
0.54973711,0.52332377
0.02774877,0.50783502
0.92145061,0.18063021
0.91792364,0.75467360
0.05060494,0.91733299
0.88859438,0.01547319
0.72640071,0.40724540
0.09868062,0.69294809
0.82044337,0.55022217
0.92385131,0.94227027
0.55945079,0.13500259
0.13566002,0.77353404
0.40000598,0.91744591
0.45729679,0.99052675
0.15144664,0.78306497
0.68137126,0.70966247
0.08137980,0.29382824
0.86485293,0.97395093
0.52271065,0.22776666
0.01983032,0.62594653
0.71642506,0.55141545
0.70184161,0.19443739
0.72047743,0.95418409
0.77907761,0.77894131
0.59976769,0.24409711
0.06436854,0.44639576
0.01498886,0.41442518
0.82915287,0.68499130
0.58570623,0.30013337
0.05671108,0.68844356
0.84124332,0.31411267
0.33471102,0.13604328
0.23081527,0.88210669
0.34037379,0.28268105
0.10263289,0.26586596
0.84118912,0.88251015
0.07489059,0.13418592
0.89375835,0.80172765
0.53304398,0.41051820
0.60306418,0.74387066
0.08374071,0.07731468
0.78907352,0.62275796
0.19640822,0.18590442
0.97830244,0.36674917
0.22999030,0.95149480
0.04833485,0.21283151
0.88090176,0.74467757
0.13804584,0.05655293
0.41048848,0.87452345
0.75201941,0.39985199
0.49798383,0.27309946
0.87448457,0.48509507
0.11574487,0.22519150
0.48862099,0.08190832
0.02005420,0.40262307
0.91013239,0.38432295
0.69457283,0.97382092
0.92810047,0.22948729
0.11587378,0.62682241
0.64826258,0.81274545
0.40385717,0.97714438
0.17052535,0.24947447
0.00150481,0.45011170
0.29205542,0.30218360
0.09581262,0.05841395
0.92131584,0.30552843
0.99991931,0.40745781
0.28067763,0.86710929
0.43977526,0.61320933
0.29060909,0.32191076
0.81614686,0.22863765
0.62616376,0.08405011
0.56597784,0.68266640
0.43858235,0.37462233
0.10807788,0.14690786
0.52625349,0.13535600
0.98543840,0.49379650
0.08214887,0.66428144
0.49818696,0.28613453
0.22882571,0.14971618
0.83492599,0.08404828
0.26542668,0.57916776
0.61684317,0.37838343
0.78266634,0.06942503
0.41750139,0.56925047
0.54235066,0.69433546
