x,y
0.22396191,0.05726127
0.54614740,0.93400037
0.49596081,0.38090793
0.24904581,0.24546678
0.47466768,0.05292001
0.99192956,0.89507157
0.41380548,0.20525498
0.06841481,0.68957518
0.64453444,0.42852229
0.43380169,0.59408460
0.27487863,0.81132450
0.90868801,0.80427229
0.27703348,0.20363628
0.19232289,0.19373791
0.10613178,0.11942900
0.91567797,0.13139531
0.88508451,0.52735160
0.24438868,0.95287729
0.35770342,0.90907834
0.24723350,0.60062166
0.83746709,0.91455824
0.84305979,0.51680624
0.11302115,0.23386303
0.11807843,0.94368694
0.73045186,0.47447340
0.20327635,0.63548235
0.50137260,0.10395062
0.17448665,0.91640461
0.74484732,0.50695791
0.36590753,0.88907895
0.11204822,0.19603046
0.74325156,0.96779412
0.26951421,0.06601672
0.13529063,0.62091464
0.69067281,0.05059511
0.53827973,0.97687521
0.50251473,0.73121220
0.14728660,0.71807886
0.78960088,0.59704855
0.14568963,0.03704672
0.30245003,0.22604663
0.08285690,0.15944060
0.74013575,0.92592517
0.85443733,0.24788141
0.08195233,0.80445357
0.02810034,0.81136662
0.51486862,0.02896847
0.59309659,0.15436903
0.87872689,0.80411786
0.89989453,0.13039735
0.96005969,0.58658986
0.85282009,0.43370800
0.54905057,0.50791803
0.01778900,0.51419813
0.92583062,0.18254799
0.90804053,0.72959471
0.05100388,0.91256539
0.89383844,0.01929411
0.72655501,0.40668081
0.09528574,0.67414563
0.80988372,0.56457991
0.91231751,0.94687674
0.56321335,0.10449385
0.13415925,0.75706809
0.40529594,0.88428755
0.45165624,0.97561663
0.16350829,0.79496963
0.68189080,0.70243446
0.08481668,0.29658650
0.86419324,0.96234779
0.51251039,0.21507279
0.01823383,0.65307993
0.71093808,0.55003357
0.70593133,0.17009888
0.72059536,0.95259041
0.77248146,0.78241554
0.61455843,0.22272988
0.06442494,0.42367168
0.01403302,0.40565538
0.83594140,0.67352672
0.58638813,0.29609210
0.05666420,0.69258370
0.83924277,0.31048952
0.33305179,0.12623341
0.23005524,0.89605304
0.34463344,0.30159215
0.09692764,0.25612568
0.84204975,0.87120243
0.06154888,0.16157811
0.89347807,0.80898068
0.53867623,0.42688833
0.60172674,0.75180059
0.08251436,0.08110019
0.78691720,0.63185003
0.19701199,0.17241829
0.97637880,0.39342418
0.21954808,0.93605976
0.33982360,0.24491104
0.05492782,0.21542009
0.88282076,0.72657643
0.13943260,0.02450850
0.41187963,0.87478286
0.75559740,0.41845912
0.49159520,0.27295969
0.87853670,0.50893124
0.10604047,0.20646168
0.48862490,0.08252358
0.02001099,0.40671682
0.91391644,0.39158147
0.69006537,0.96383831
0.92734068,0.24032868
0.99286599,0.34779199
0.12482205,0.62802179
0.66092239,0.81152776
0.39747710,0.97905240
0.16505814,0.27159124
0.00888931,0.43587176
0.28109000,0.29491775
0.09982104,0.08455428
0.92545268,0.31614582
0.98372204,0.40605823
0.28837953,0.84490890
0.43887533,0.61301096
0.29138231,0.29063784
0.82199835,0.22912351
0.62015259,0.09118351
0.57733757,0.68020600
0.44770299,0.36912229
0.11620093,0.11700217
0.52198871,0.15043825
0.98525846,0.47851588
0.32072317,0.11726066
0.07663576,0.71080752
0.50261238,0.28251625
0.22789819,0.12953673
0.81966723,0.07475784
0.26476357,0.57483474
0.61467953,0.34881954
0.77831147,0.05168157
0.42224982,0.57544755
0.53546129,0.68151036
0.74904593,0.80325846
0.05678335,0.05558245
0.20368993,0.93919889
0.07237635,0.05486831
0.13299026,0.17784997
0.50466713,0.96899045
0.32772204,0.96911618
0.57086764,0.25944548
0.85143358,0.62330058
0.84511917,0.80189550
0.70019019,0.38340434
0.57708316,0.55059450
0.60225312,0.48370281
0.45145067,0.94089084
0.23355998,0.08399152
0.82899783,0.63273263
0.51814191,0.97916593
0.78920072,0.41082583
0.19354924,0.81290231
0.90358898,0.90480880
0.12598859,0.33561174
0.12391601,0.10426252
0.79562084,0.81552019
0.80970598,0.49331614
0.39647194,0.42219581
0.12756944,0.77811670
0.79562157,0.71227790
0.85530601,0.83295114
0.01169164,0.17635029
0.87840706,0.11799402
0.30618769,0.27689718
0.52439698,0.95451613
0.64264766,0.79604205
0.74297617,0.97013672
0.59957604,0.76286782
0.54824976,0.16055086
0.40475735,0.01975738
0.55637819,0.06041658
0.24792468,0.85688070
0.09825703,0.74848445
0.51567943,0.73409497
0.81221265,0.10146458
0.19406342,0.12016694
0.05315311,0.86091403
0.91453194,0.50828120
0.06259334,0.84681936
0.01590002,0.33707968
0.42003052,0.38382061
0.10760106,0.45706992
0.40031556,0.57258431
0.36114811,0.23133061
0.95738993,0.21219489
0.19208679,0.03032411
0.05481478,0.22700797
0.43969250,0.04960875
0.76815979,0.22292581
0.46411805,0.66832209
0.14135722,0.24821528
0.69231715,0.37657430
0.12992914,0.89688253
0.61170165,0.77420545
0.52980657,0.91556841
0.29017695,0.63352000
0.41861592,0.60253395
0.20113541,0.39556719
0.79584912,0.41221992
0.18226325,0.30986755
0.16221674,0.25126835
0.91058724,0.06843928
0.42571624,0.63624165
0.91775469,0.01688131
0.22863576,0.98594043
0.29481454,0.65772362
0.91895834,0.10584826
0.92615290,0.86683157
0.11728959,0.19153020
0.76454909,0.31690085
0.30021754,0.35459487
0.73159740,0.78730277
0.36386816,0.14600818
0.50005908,0.10956603
